package	version	target_path	bytes	sha256
libmbim	1.26.2	buildroot/buildroot-202205/dl/libmbim/libmbim-1.26.2.tar.gz	241081	c12e61ea462fca40ddba2a8e1e401242d4f13827944369fad27ff70936b1e09d
libqmi	1.30.4	buildroot/buildroot-202205/dl/libqmi/libqmi-1.30.4.tar.gz	4363960	82ddd3f77c602b1e0c11d3e41d0563ede11f95036ebfcf929bc89157b13928e6
libubox	d716ac4bc4236031d4c3cc1ed362b502e20e3787	buildroot/buildroot-202205/dl/libubox/libubox-d716ac4bc4236031d4c3cc1ed362b502e20e3787-br1.tar.gz	89777	54f65299439dab4be8f203588bcefd9b60052ae87d12c6d012f6278a2a111b4e
modem-manager	1.18.6	buildroot/buildroot-202205/dl/modem-manager/ModemManager-1.18.6.tar.xz	2519572	d4f804b31cf504239c5f1d4973c62095c00cba1ee9abb503718dac6d146a470a
pppd	2.4.9	buildroot/buildroot-202205/dl/pppd/pppd-2.4.9.tar.gz	719904	675bff4f366174649f4a3c92fd32ac476e694164ff2b0b7710019b6ead9c561e
uqmi	0a19b5b77140465c29e2afa7d611fe93abc9672f	buildroot/buildroot-202205/dl/uqmi/uqmi-0a19b5b77140465c29e2afa7d611fe93abc9672f-br1.tar.gz	128937	aae6a72791da8f58012303ba3bfeeb613e74597cbebfb9e7c2d9125e6f256799
usb_modeswitch	2.6.1	buildroot/buildroot-202205/dl/usb_modeswitch/usb-modeswitch-2.6.1.tar.bz2	45471	5195d9e136e52f658f19e9f93e4f982b1b67bffac197d0a455cd8c2cd245fa34
usb_modeswitch_data	20191128	buildroot/buildroot-202205/dl/usb_modeswitch_data/usb-modeswitch-data-20191128.tar.bz2	34069	3f039b60791c21c7cb15c7986cac89650f076dc274798fa242231b910785eaf9
